year,month,Product,UF,kg,US$_fob,km
2014,4,Soy Group,GO,658536562,328663457,0
2014,4,Soy Group,MA,163312413,80007007,0
2014,4,Soy Group,MG,260065066,129893474,0
2014,4,Soy Group,MS,497064534,247685871,0
2014,4,Soy Group,MT,2700565584,1351588635,0
2014,4,Soy Group,PA,9613418,4637091,0
2014,4,Soy Group,PR,1449040595,710585360,0
2014,4,Soy Group,RO,113957067,59269677,0
2014,4,Soy Group,RS,1052291161,542820042,0
2014,4,Soy Group,SC,411876135,202228967,0
2014,4,Soy Group,SP,518854850,268023156,0
2014,4,Soy Group,TO,104871239,51541756,0
2014,5,Soy Group,BA,351846028,182131351,0
2014,5,Soy Group,DF,34272770,16331693,0
2014,5,Soy Group,GO,533521615,263624624,0
2014,5,Soy Group,MA,152757337,75718202,0
2014,5,Soy Group,MG,202234745,99918779,0
2014,5,Soy Group,MS,386901794,197168181,0
2014,5,Soy Group,MT,2380074408,1199397717,0
2014,5,Soy Group,PA,24599391,12256976,0
2014,5,Soy Group,PE,10364055,5666314,0
2014,5,Soy Group,PI,38683313,19166547,0
2014,5,Soy Group,PR,963572868,493375354,0
2014,5,Soy Group,RO,87402525,45209092,0
2014,5,Soy Group,RS,1535305686,795496462,0
2014,5,Soy Group,SC,241261319,123632410,0
2014,5,Soy Group,SP,368982170,187889534,0
2014,5,Soy Group,TO,180913592,90391255,0
2014,6,Soy Group,BA,311638981,159318902,0
2014,6,Soy Group,GO,325330992,170013260,0
2014,6,Soy Group,MA,198102923,98828975,0
2014,6,Soy Group,MG,334938376,172161654,0
2014,6,Soy Group,MS,307154820,159857573,0
2014,6,Soy Group,MT,2011613838,1039170593,0
2014,6,Soy Group,PA,108720944,57216386,0
2014,6,Soy Group,PI,27641439,13764149,0
2014,6,Soy Group,PR,670746374,349446850,0
2014,6,Soy Group,RO,90618243,48252663,0
2014,6,Soy Group,RS,1446093056,762156078,0
2014,6,Soy Group,SC,337906129,177380475,0
2014,6,Soy Group,SP,237236805,122128435,0
2014,6,Soy Group,TO,231513150,115802356,0
2014,7,Soy Group,BA,328324212,170646625,0
2014,7,Soy Group,DF,14126414,7297165,0
2014,7,Soy Group,GO,346460012,187001853,0
2014,7,Soy Group,MA,196768136,101407356,0
2014,7,Soy Group,MG,133860073,68582780,0
2014,7,Soy Group,MS,258517395,132008990,0
2014,7,Soy Group,MT,1705667305,880646529,0
2014,7,Soy Group,PA,140088544,74399991,0
2014,7,Soy Group,PI,71850773,36220220,0
2014,7,Soy Group,PR,787243034,413203879,0
2014,7,Soy Group,RO,81272962,43227504,0
2014,7,Soy Group,RS,1191619068,630377922,0
2014,7,Soy Group,SC,271880344,142409631,0
2014,7,Soy Group,SP,127605374,65271786,0
2014,7,Soy Group,TO,247678000,127941054,0
2014,8,Soy Group,BA,144756788,74539078,0
2014,8,Soy Group,DF,71466922,40108953,0
2014,8,Soy Group,GO,221110601,116510431,0
2014,8,Soy Group,MA,243099042,124528957,0
2014,8,Soy Group,MG,189338474,96956887,0
2014,8,Soy Group,MS,178215058,91418944,0
2014,8,Soy Group,MT,861921602,448931155,0
2014,8,Soy Group,PA,116752928,58844762,0
2014,8,Soy Group,PI,102216506,51641559,0
2014,8,Soy Group,PR,530661200,274031377,0
2014,8,Soy Group,RO,57970470,30121789,0
2014,8,Soy Group,RS,893233538,466566519,0
2014,8,Soy Group,SC,181658457,93823356,0
2014,8,Soy Group,SP,95377440,49310029,0
2014,8,Soy Group,TO,224330417,114347052,0
2014,9,Soy Group,BA,229812476,119467217,0
2014,9,Soy Group,GO,55814411,28184383,0
2014,9,Soy Group,MA,204268845,103103815,0
2014,9,Soy Group,MG,65643303,34585524,0
2014,9,Soy Group,MS,54454897,26991247,0
2014,9,Soy Group,MT,383536750,197506249,0
2014,9,Soy Group,PA,49678289,24325178,0
2014,9,Soy Group,PI,62679980,30893250,0
2014,9,Soy Group,PR,225936337,116785630,0
2014,9,Soy Group,RS,1054213593,522643615,0
2014,9,Soy Group,SC,32374690,16471315,0
2014,9,Soy Group,SP,136761562,67984450,0
2014,9,Soy Group,TO,110307419,55354634,0
2014,10,Soy Group,BA,46205696,23585084,0
2014,10,Soy Group,MA,192547865,96259750,0
2014,10,Soy Group,MT,154623702,75303303,0
2014,10,Soy Group,PA,46539524,23072937,0
2014,10,Soy Group,PI,35371188,16942572,0
2014,10,Soy Group,PR,72963735,32052141,0
2014,10,Soy Group,RS,134727586,66372387,0
2014,10,Soy Group,TO,49711123,25275417,0
2014,11,Soy Group,MA,57764750,28034877,0
