CO_ANO,CO_MES,nick,SG_UF_NCM,comex,KG_LIQUIDO,VL_FOB
2004,11,UREIA_k,BA,imp,66619721.0,14302906.0
2004,11,café,BA,exp,429960.0,1309981.3559322034
2004,12,MOP_k,BA,imp,5752670.0,1027766.0
2004,12,NP_k,BA,imp,672000.0,171408.0
2004,12,UREIA_k,BA,imp,61613070.0,14292933.0
2004,12,café,BA,exp,1637160.0,4716544.06779661
2005,1,MAP_k,BA,imp,4502715.0,1139794.0
2005,1,MOP_k,BA,imp,2883566.0,492455.0
2005,1,café,BA,exp,1827600.0,5555990.163934426
2005,2,MAP_k,BA,imp,5651997.0,1320339.0
2005,2,UREIA_k,BA,imp,31605070.0,5878543.0
2005,2,café,BA,exp,3210000.0,9559909.836065574
2005,3,café,BA,exp,3455100.0,10995929.508196723
2005,4,MAP_k,BA,imp,3150994.0,744725.0
2005,4,café,BA,exp,3276420.0,10989172.131147541
2005,5,MAP_k,BA,imp,25132754.0,6321096.0
2005,5,SAM_k,BA,imp,4019593.0,483971.0
2005,5,café,BA,exp,2045520.0,7113340.983606557
2005,6,MAP_k,BA,imp,17500173.0,4217727.0
2005,6,MOP_k,BA,imp,3801676.0,788862.0
2005,6,NP_k,BA,imp,199800.0,72368.0
2005,6,SAM_k,BA,imp,4031586.0,473040.0
2005,6,café,BA,exp,1682520.0,5596450.819672131
2005,7,MAP_k,BA,imp,16498169.0,3928593.0
2005,7,MOP_k,BA,imp,4007943.0,820298.0
2005,7,café,BA,exp,2574300.0,9069198.360655738
2005,8,MAP_k,BA,imp,12783244.0,3255826.0
2005,8,MOP_k,BA,imp,28147385.0,5650157.0
2005,8,café,BA,exp,3155460.0,10823881.967213115
2005,9,MAP_k,BA,imp,48164625.0,12807775.0
2005,9,MOP_k,BA,imp,18437087.0,3775767.0
2005,9,NP_k,BA,imp,500000.0,152900.0
2005,9,SAM_k,BA,imp,6001005.0,703689.0
2005,9,UREIA_k,BA,imp,11499142.0,2423444.0
2005,9,café,BA,exp,3257220.0,11051834.426229509
2005,10,MAP_k,BA,imp,9748593.0,2635824.0
2005,10,MOP_k,BA,imp,9974000.0,2106558.0
2005,10,UREIA_k,BA,imp,46705983.0,9764684.0
2005,10,café,BA,exp,2663400.0,8421645.901639344
2005,11,MAP_k,BA,imp,15565435.0,4343228.0
2005,11,MOP_k,BA,imp,44093200.0,8957284.0
2005,11,UREIA_k,BA,imp,20917240.0,4371703.0
2005,11,café,BA,exp,3806220.0,11754944.262295082
2005,12,MOP_k,BA,imp,8993305.0,1869136.0
2005,12,NPK_k,BA,imp,2016000.0,928035.0
2005,12,NP_k,BA,imp,308000.0,131230.0
2005,12,SAM_k,BA,imp,2250000.0,229500.0
2005,12,UREIA_k,BA,imp,48401305.0,10308334.0
2005,12,café,BA,exp,2147820.0,6861770.491803279
2006,1,MAP_k,BA,imp,5039862.0,1401544.0
2006,1,MOP_k,BA,imp,3717480.0,724884.0
2006,1,SAM_k,BA,imp,6530692.0,699455.0
2006,1,UREIA_k,BA,imp,27085811.0,6197395.0
2006,1,café,BA,exp,2346240.0,7049169.841269841
2006,2,MAP_k,BA,imp,8952433.0,2405502.0
2006,2,SAM_k,BA,imp,1406609.0,146609.0
2006,2,UREIA_k,BA,imp,14735879.0,3256032.0
2006,2,café,BA,exp,2622840.0,8879673.015873015
2006,3,MAP_k,BA,imp,1430125.0,379200.0
2006,3,MOP_k,BA,imp,8686936.0,1573598.0
2006,3,café,BA,exp,2175300.0,6968231.746031746
2006,4,MAP_k,BA,imp,12936808.0,3508693.0
2006,4,MOP_k,BA,imp,11030538.0,2032131.0
2006,4,café,BA,exp,2269440.0,7455311.111111111
2006,5,MAP_k,BA,imp,4525000.0,1238193.0
2006,5,MOP_k,BA,imp,7004215.0,1281124.0
2006,5,SAM_k,BA,imp,8401561.0,810524.0
2006,5,café,BA,exp,1854840.0,6402596.825396826
2006,6,MAP_k,BA,imp,842036.0,224008.0
2006,6,MOP_k,BA,imp,7233771.0,1286873.0
2006,6,NP_k,BA,imp,384000.0,159536.0
2006,6,café,BA,exp,1530420.0,5107496.825396826
2006,7,MAP_k,BA,imp,48201757.0,13356674.0
2006,7,MOP_k,BA,imp,3850000.0,734881.0
2006,7,NP_k,BA,imp,432000.0,179424.0
2006,7,SAM_k,BA,imp,6500552.0,602787.0
2006,7,café,BA,exp,1934520.0,6069977.777777778
2006,8,MAP_k,BA,imp,13018472.0,3553996.0
2006,8,MOP_k,BA,imp,33081126.0,5841781.0
2006,8,NP_k,BA,imp,192000.0,81697.0
2006,8,SAM_k,BA,imp,6032954.0,613632.0
2006,8,café,BA,exp,3378000.0,10741025.396825397
2006,9,MAP_k,BA,imp,10322747.0,2867896.0
2006,9,MOP_k,BA,imp,6309460.0,1089283.0
2006,9,NP_k,BA,imp,252000.0,54869.0
2006,9,SAM_k,BA,imp,3596152.0,368743.0
2006,9,café,BA,exp,5876040.0,19558260.317460317
2006,10,MOP_k,BA,imp,36712549.0,6657371.0
2006,10,café,BA,exp,6451320.0,20977619.04761905
2006,11,MAP_k,BA,imp,36946683.0,10347665.0
2006,11,MOP_k,BA,imp,6092341.0,1101910.0
2006,11,NP_k,BA,imp,364000.0,138376.0
2006,11,café,BA,exp,5418180.0,17667879.365079366
2006,12,MAP_k,BA,imp,5613923.0,1569383.0
2006,12,SAM_k,BA,imp,6125053.0,755157.0
2006,12,UREIA_k,BA,imp,20846584.0,4618051.0
2006,12,café,BA,exp,5956170.0,21160514.285714284
2007,1,MAP_k,BA,imp,3428637.0,986387.0
2007,1,MOP_k,BA,imp,8155584.0,1386788.0
2007,1,SAM_k,BA,imp,2901591.0,350471.0
2007,1,café,BA,exp,6202440.0,22182937.5
2007,2,MAP_k,BA,imp,4161981.0,1187004.0
2007,2,SAM_k,BA,imp,4010429.0,514624.0
2007,2,café,BA,exp,5529660.0,19415265.625
2007,3,MOP_k,BA,imp,7260725.0,1310182.0
2007,3,SAM_k,BA,imp,4010817.0,650491.0
2007,3,café,BA,exp,2516160.0,8868078.125
2007,4,MOP_k,BA,imp,6038408.0,1268707.0
2007,4,SAM_k,BA,imp,5320000.0,659387.0
2007,4,café,BA,exp,2774700.0,9789556.25
2007,4,soja,BA,exp,8941839.0,4157300.0
2007,5,MAP_k,BA,imp,40013000.0,17628898.0
2007,5,MOP_k,BA,imp,14220000.0,3059772.0
2007,5,SAM_k,BA,imp,16367910.0,2570383.0
2007,5,café,BA,exp,2286900.0,7874582.8125
2007,6,MAP_k,BA,imp,30978750.0,14511010.0
2007,6,MOP_k,BA,imp,23073019.0,5251251.0
2007,6,NPK_k,BA,imp,11717000.0,3887892.0
2007,6,NP_k,BA,imp,532000.0,241555.0
2007,6,SAM_k,BA,imp,8752886.0,1469124.0
2007,6,café,BA,exp,1724280.0,6362482.8125
2007,7,MAP_k,BA,imp,31232331.0,13236688.0
2007,7,MOP_k,BA,imp,11381024.0,2264951.0
2007,7,NP_k,BA,imp,756000.0,343450.0
2007,7,café,BA,exp,2230260.0,7707695.3125
2007,7,soja,BA,exp,36619759.0,16809614.0625
2007,8,MOP_k,BA,imp,41864348.0,10190176.0
2007,8,NP_k,BA,imp,356000.0,157851.0
2007,8,SAM_k,BA,imp,5035474.0,847305.0
2007,8,café,BA,exp,2679240.0,9368215.625
2007,8,soja,BA,exp,19017560.0,8931757.8125
2007,9,MAP_k,BA,imp,28845610.0,13433641.0
2007,9,MOP_k,BA,imp,20483595.0,5406284.0
2007,9,NP_k,BA,imp,280000.0,127214.0
2007,9,café,BA,exp,4978500.0,17552015.625
2007,10,MAP_k,BA,imp,23116052.0,10761671.0
2007,10,MOP_k,BA,imp,21802567.0,5967920.0
2007,10,NP_k,BA,imp,1272000.0,548783.0
2007,10,UREIA_k,BA,imp,13000000.0,4160000.0
2007,10,café,BA,exp,4258680.0,15254500.0
2007,10,soja,BA,exp,94733102.0,47921743.75
2007,11,MOP_k,BA,imp,21195623.0,5723958.0
2007,11,NP_k,BA,imp,840000.0,415762.0
2007,11,SAM_k,BA,imp,4725000.0,803250.0
2007,11,UREIA_k,BA,imp,20034938.0,6413172.0
2007,11,café,BA,exp,4453800.0,16083810.9375
2007,11,soja,BA,exp,45226303.0,26018551.5625
2007,12,MOP_k,BA,imp,31650855.0,8781245.0
2007,12,NP_k,BA,imp,288000.0,131444.0
2007,12,SAM_k,BA,imp,3066819.0,797373.0
2007,12,café,BA,exp,3224340.0,12249790.625
2007,12,soja,BA,exp,28725220.0,18012642.1875
2008,1,MAP_k,BA,imp,11250000.0,6830912.0
2008,1,MOP_k,BA,imp,26951859.0,8821933.0
2008,1,NP_k,BA,imp,560000.0,277278.0
2008,1,UREIA_k,BA,imp,5501889.0,2511506.0
2008,1,café,BA,exp,2572140.0,9234183.58208955
2008,2,SAM_k,BA,imp,9875108.0,2885076.0
2008,2,café,BA,exp,3775800.0,14042683.58208955
2008,3,MAP_k,BA,imp,483000.0,376015.0
2008,3,NP_k,BA,imp,168000.0,73530.0
2008,3,SAM_k,BA,imp,1000000.0,258000.0
2008,3,café,BA,exp,1833600.0,6953661.19402985
2008,4,MAP_k,BA,imp,1000000.0,889190.0
2008,4,MOP_k,BA,imp,10772051.0,4888195.0
2008,4,café,BA,exp,2485140.0,9047450.746268656
2008,5,MAP_k,BA,imp,22154640.0,21189525.0
2008,5,MOP_k,BA,imp,47509101.0,23359879.0
2008,5,SAM_k,BA,imp,4000000.0,1208036.0
2008,5,café,BA,exp,2223180.0,8445532.835820895
2008,6,MAP_k,BA,imp,28870067.0,34674722.0
2008,6,MOP_k,BA,imp,10002175.0,5827269.0
2008,6,NP_k,BA,imp,210000.0,159770.0
2008,6,café,BA,exp,1812780.0,6456888.059701492
2008,6,soja,BA,exp,47223845.0,28369747.761194028
2008,7,MAP_k,BA,imp,22020340.0,26664618.0
2008,7,MOP_k,BA,imp,21260626.0,13953611.0
2008,7,NP_k,BA,imp,7155220.0,1800877.0
2008,7,SAM_k,BA,imp,950000.0,300052.0
2008,7,café,BA,exp,1473300.0,5675153.731343283
2008,8,MAP_k,BA,imp,3577701.0,4590884.0
2008,8,MOP_k,BA,imp,44432730.0,32567338.0
2008,8,UREIA_k,BA,imp,33058109.0,21691211.0
2008,8,café,BA,exp,262680.0,1034762.6865671641
2008,8,milho,BA,exp,23905387.0,10418467.164179103
2008,8,soja,BA,exp,30726260.0,16889571.641791042
2008,9,MAP_k,BA,imp,28090884.0,34285937.0
2008,9,MOP_k,BA,imp,23530899.0,19998482.0
2008,9,SAM_k,BA,imp,11093619.0,4336314.0
2008,9,café,BA,exp,292800.0,993568.6567164179
2008,9,soja,BA,exp,12189850.0,7361807.462686567
2008,10,MAP_k,BA,imp,11722685.0,14783112.0
2008,10,MOP_k,BA,imp,36277698.0,33295712.0
2008,10,café,BA,exp,2842680.0,10259967.164179105
2008,11,café,BA,exp,3113280.0,11110904.47761194
2008,11,soja,BA,exp,52607006.0,27995370.14925373
2008,12,NP_k,BA,imp,1008000.0,1602555.0
2008,12,café,BA,exp,3806160.0,12095085.074626863
2008,12,soja,BA,exp,11000000.0,6074626.865671641
2009,1,SAM_k,BA,imp,1425000.0,143141.0
2009,1,café,BA,exp,3403740.0,11132317.910447761
