CO_ANO,CO_MES,CO_NCM,nick,SG_UF_NCM,CO_PAIS,CO_URF,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO
1997,6,31022100,SAM,MG,249,727600,2500000,257500,45000,1026
1997,6,31022100,SAM,MG,249,817800,9420000,970260,169560,3084
1997,6,31022100,SAM,MG,603,817800,4300000,441470,34400,1716
1997,6,31022100,SAM,MG,999,817800,1500000,165000,18000,450
1997,6,31022100,SAM,MG,999,817800,4000000,401000,32000,900
1997,6,31022100,SAM,PR,87,910152,1505760,155197,27000,1053
1997,6,31022100,SAM,PR,999,915100,1063350,111652,12600,1755
1997,6,31022100,SAM,RS,87,1015400,315000,32445,5670,90
1997,6,31022100,SAM,SP,603,817800,5956055,599308,47648,2370
1997,6,31022100,SAM,SP,999,817800,1455690,165017,11646,437
1997,6,31022100,SAM,ZN,23,440100,8454624,871505,83522,3933
1997,6,31022100,SAM,ZN,245,727600,5100000,537900,61200,1996
1997,6,31022100,SAM,ZN,249,440100,15935206,1643966,283560,4473
1997,6,31022100,SAM,ZN,249,727600,4420000,455260,79560,1848
1997,6,31022100,SAM,ZN,249,817600,5,180,198,1
1997,6,31042090,MOP,BA,23,517600,69300,10832,5927,81
1997,6,31042090,MOP,BA,676,510100,1044156,132608,12000,0
1997,6,31042090,MOP,GO,149,520100,2997970,388238,36000,0
1997,6,31042090,MOP,MG,23,817800,4000000,547000,48000,3448
1997,6,31042090,MOP,MG,149,817800,8141160,1041727,96000,2886
1997,6,31042090,MOP,MG,249,817800,2976190,407738,36000,900
1997,6,31042090,MOP,MG,383,817800,9250000,1275750,111000,5715
1997,6,31042090,MOP,MT,383,915100,2000000,276000,24000,1442
1997,6,31042090,MOP,PR,23,910152,7508450,1021251,90000,4006
1997,6,31042090,MOP,PR,149,915100,3784000,514624,48000,2309
1997,6,31042090,MOP,PR,383,915100,23399450,3127297,282000,14191
1997,6,31042090,MOP,PR,676,915100,4062170,513234,50400,2324
1997,6,31042090,MOP,RS,149,1010500,44690620,5349471,537000,5400
1997,6,31042090,MOP,RS,383,1010500,314778,44698,3600,0
1997,6,31042090,MOP,RS,676,1010500,16412926,1848404,200350,4559
1997,6,31042090,MOP,RS,999,1015400,1260000,152996,15120,360
1997,6,31042090,MOP,SP,23,817800,8500000,1136000,102000,5148
1997,6,31042090,MOP,SP,149,817800,7500000,944000,90000,3124
1997,6,31042090,MOP,SP,158,920151,250000,33732,5018,0
1997,6,31042090,MOP,SP,249,817600,1,117,49,0
1997,6,31042090,MOP,SP,249,817700,10,168,91,0
1997,6,31042090,MOP,SP,249,817800,4974795,686054,62810,1500
1997,6,31042090,MOP,SP,383,817800,17750000,2414750,213000,9176
1997,6,31042090,MOP,SP,999,817800,7400000,923700,88800,3916
1997,6,31042090,MOP,SP,999,817800,6500000,788000,78000,1934
1997,6,31042090,MOP,SP,999,817800,705000,93060,8460,212
1997,6,31042090,MOP,ZN,23,717600,3460660,520793,63160,0
1997,6,31042090,MOP,ZN,249,227600,10,107,72,0
1997,6,31042090,MOP,ZN,383,320100,1350000,155250,16200,564
1997,6,31042090,MOP,ZN,383,915100,500000,69000,6000,360
1997,6,31052000,NPK,RS,573,817800,60000,55861,5277,60
1997,6,31052000,NPK,RS,999,1010252,500000,127420,0,0
1997,6,31052000,NPK,RS,999,1015300,490000,120582,2112,0
1997,6,31052000,NPK,SP,23,817800,70560,115920,6016,185
1997,6,31052000,NPK,SP,87,817800,41725,27213,2005,0
1997,6,31052000,NPK,SP,999,817600,100,5190,355,17
1997,6,31052000,NPK,SP,999,817800,5000,3525,450,64
1997,6,31052000,NPK,SP,999,817800,4000,3535,362,19
1997,6,31052000,NPK,ZN,999,260151,96000,25920,3360,0
1997,6,31054000,MAP,BA,249,510100,3072949,669608,40875,1041
1997,6,31054000,MAP,BA,249,517600,1918149,427747,22800,0
1997,6,31054000,MAP,BA,676,517600,959074,213982,11400,1357
1997,6,31054000,MAP,BA,999,510100,3498922,741771,70000,0
1997,6,31054000,MAP,GO,999,727600,3000000,658000,36000,4386
1997,6,31054000,MAP,MG,249,817800,1121516,257646,13200,1546
1997,6,31054000,MAP,MG,999,727600,4225000,942988,50700,4307
1997,6,31054000,MAP,MG,999,817800,721300,160489,8656,216
1997,6,31054000,MAP,MT,676,915100,2233580,457884,27000,3567
1997,6,31054000,MAP,PR,249,915100,7084930,1590856,71250,5504
1997,6,31054000,MAP,PR,676,915100,750520,167372,9000,225
1997,6,31054000,MAP,PR,831,915100,2785900,650460,33600,2709
1997,6,31054000,MAP,RS,249,1010500,8512203,1803975,85000,2065
1997,6,31054000,MAP,RS,249,1015400,974519,219169,9745,0
1997,6,31054000,MAP,RS,676,417600,1500000,339000,18000,2171
1997,6,31054000,MAP,RS,676,817800,1395827,321040,16750,336
1997,6,31054000,MAP,RS,831,1015400,1989189,427546,24000,1497
1997,6,31054000,MAP,RS,999,1010500,3152145,663968,37800,2431
1997,6,31054000,MAP,SP,249,817800,5500000,1325500,66000,1650
1997,6,31054000,MAP,SP,676,915100,1990340,449762,24000,2638
1997,6,31054000,MAP,SP,831,915100,1002920,212619,12000,1342
1997,6,31054000,MAP,SP,999,817800,10551761,2325942,126621,5888
1997,6,31054000,MAP,ZN,676,517600,2003789,436826,24000,0
1997,6,31054000,MAP,ZN,999,440100,503283,111980,6000,563
1997,6,31054000,MAP,ZN,999,440100,6618178,1468015,78900,4764
1997,6,31054000,MAP,ZN,999,727600,3100000,670150,37200,2283
1997,6,31055900,NP,RS,999,1011000,200000,44800,4400,0
1997,6,31055900,NP,RS,999,1015300,1000000,254250,11750,0
1997,6,31059090,NK,RS,573,817800,1512,15056,133,16
1997,6,31059090,NK,SP,23,817800,73766,105886,5962,179
1997,6,31059090,NK,SP,999,817800,26525,81802,3604,435
1997,6,31059090,NK,SP,999,817800,15000,9976,1349,181
1997,6,31059090,NK,ZN,158,920151,500000,116481,5184,0
1997,7,31021010,UREIA,MG,999,617600,0,540,12,0
1997,7,31021010,UREIA,PR,603,915100,977200,169056,12000,1181
1997,7,31021010,UREIA,PR,999,1010500,490798,63313,5000,0
1997,7,31021010,UREIA,PR,999,1010500,996417,143484,12000,0
1997,7,31021010,UREIA,RS,603,1015400,6313260,1047960,75759,10681
1997,7,31021010,UREIA,RS,676,1010500,18245301,2278489,184961,1361
1997,7,31021010,UREIA,RS,831,1015400,3004014,528706,36048,901
1997,7,31021010,UREIA,RS,999,1010500,9349988,1379230,112603,0
1997,7,31021010,UREIA,RS,999,1010500,6824112,898667,69521,0
1997,7,31021010,UREIA,RS,999,1015400,2002676,353472,24032,1287
1997,7,31021010,UREIA,ZN,23,717700,8,286,776,0
1997,7,31022100,SAM,GO,603,520100,4925980,533214,60478,3639
1997,7,31022100,SAM,MG,23,817800,4620000,471240,46200,2625
1997,7,31022100,SAM,MG,249,727600,4500000,463500,81000,1824
1997,7,31022100,SAM,MG,249,817800,1000000,103000,18000,300
1997,7,31022100,SAM,MG,603,520100,3625060,367985,44100,1859
1997,7,31022100,SAM,MG,603,817800,2120110,179446,16961,424
1997,7,31022100,SAM,MG,999,817800,4200000,428400,42000,1260
1997,7,31022100,SAM,MG,999,817800,4600000,459100,73200,1545
1997,7,31022100,SAM,PR,23,910152,303130,31222,5400,90
1997,7,31022100,SAM,PR,87,910152,8199510,802468,145800,3276
1997,7,31022100,SAM,PR,249,1010500,497784,47194,6000,0
1997,7,31022100,SAM,PR,603,915100,300670,30969,3600,90
1997,7,31022100,SAM,PR,831,1010500,954900,91670,11400,339
1997,7,31022100,SAM,PR,999,910152,4434590,496674,81000,2194
1997,7,31022100,SAM,RS,87,1015400,1894598,183364,34102,619
1997,7,31022100,SAM,RS,249,1010500,2176185,221873,26400,0
1997,7,31022100,SAM,RS,676,417600,1356023,139743,16200,937
1997,7,31022100,SAM,RS,831,1010500,4278513,407770,51365,1509
1997,7,31022100,SAM,SP,23,817800,8080000,824160,80800,2424
1997,7,31022100,SAM,SP,245,817800,1300000,104100,15600,586
1997,7,31022100,SAM,SP,249,817800,6500000,658500,117000,1876
1997,7,31022100,SAM,SP,603,817800,4004350,374049,32035,2473
1997,7,31022100,SAM,SP,999,817800,200000,20400,2000,60
1997,7,31022100,SAM,SP,999,817800,9566770,847782,114801,3134
1997,7,31022100,SAM,ZN,249,417600,1500000,138000,27000,542
1997,7,31022100,SAM,ZN,249,727600,7420000,731260,133560,2876
1997,7,31022100,SAM,ZN,603,520100,1047730,100582,12600,297
1997,7,31022100,SAM,ZN,676,520100,3357740,350884,42000,1233
1997,7,31022100,SAM,ZN,999,520100,1036480,112976,12600,333
1997,7,31042090,MOP,BA,676,510100,5549943,726693,66573,2382
1997,7,31042090,MOP,GO,149,520100,4491240,581616,54000,3660
1997,7,31042090,MOP,GO,149,727600,7100000,866200,85200,0
1997,7,31042090,MOP,GO,676,915100,2079520,191628,25200,630
1997,7,31042090,MOP,MG,23,817800,12500000,1676000,150000,6602
1997,7,31042090,MOP,MG,149,520100,683910,88567,8400,80
1997,7,31042090,MOP,MG,149,727600,4000000,544000,48000,1983
1997,7,31042090,MOP,MG,149,817800,23000000,2861000,276000,7374
1997,7,31042090,MOP,MG,249,817800,1000000,137000,12000,300
1997,7,31042090,MOP,MG,999,817800,4000000,537000,48000,1200
1997,7,31042090,MOP,PR,23,910152,27193060,3668309,324000,17281
1997,7,31042090,MOP,PR,149,915100,5048030,605764,60000,2169
1997,7,31042090,MOP,PR,383,915100,10471130,1365662,126000,5254
